,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,37.8,37.8,36.15,36.85,37.4,37.05,27130,994657.9,28-06-2017,202,INE144J01027
1,20MICRONS,EQ,52.9,61.7,52.9,59.4,59.65,52.8,2489935,148126511.7,28-11-2017,14196,INE144J01027
2,20MICRONS,EQ,36.15,36.3,35.6,36.05,36,35.65,40594,1461975.35,28-02-2017,193,INE144J01027
3,20MICRONS,EQ,44.35,44.8,43.55,43.9,43.6,44.8,90170,3984351.95,28-04-2017,597,INE144J01027
4,20MICRONS,EQ,36,36.75,34.2,34.9,34.9,35.4,77310,2709787.95,20-03-2017,413,INE144J01027
5,20MICRONS,EQ,40.8,41.8,40.7,41.55,41.65,40.3,153277,6340591.3,23-01-2017,1008,INE144J01027
6,20MICRONS,EQ,43.2,43.4,40.95,41.2,41,42.65,75641,3161353.75,12-05-2017,518,INE144J01027
7,20MICRONS,EQ,35.25,35.6,35,35.1,35.1,35.15,49925,1757305.85,28-03-2017,185,INE144J01027
8,20MICRONS,EQ,43.1,44.5,42.9,43.25,43.05,42.95,157311,6899809.5,20-04-2017,917,INE144J01027
9,20MICRONS,EQ,35,35,34.1,34.5,34.75,34.6,13743,473999.3,16-08-2017,177,INE144J01027
10,20MICRONS,EQ,38.8,38.8,36.7,37.1,37.25,37.65,33772,1256760.7,03-08-2017,291,INE144J01027
11,20MICRONS,EQ,36.6,37.05,36.2,36.65,36.7,36.75,46760,1722162.5,20-02-2017,266,INE144J01027
12,20MICRONS,EQ,38.35,39.6,38.35,38.95,39,39.1,57024,2226077.75,20-06-2017,204,INE144J01027
13,20MICRONS,EQ,49.55,51.6,49.45,50.85,50.6,49.55,165285,8399868.2,20-11-2017,979,INE144J01027
14,20MICRONS,EQ,51.25,54.5,50.8,52.7,52.8,50.8,391186,20758360.2,30-10-2017,2880,INE144J01027
15,20MICRONS,EQ,45.15,46.75,43.5,45.9,45.5,44.2,317453,14369946.8,25-10-2017,1598,INE144J01027
16,20MICRONS,EQ,42.75,43.9,40.35,41.8,41.95,42.35,286890,12120066.4,12-07-2017,1224,INE144J01027
17,20MICRONS,EQ,39.05,39.65,38.9,39.05,39,39,20661,810041.65,07-07-2017,125,INE144J01027
18,20MICRONS,EQ,42.4,42.8,42,42.5,42.4,42.2,58298,2475191.9,08-05-2017,298,INE144J01027
19,20MICRONS,EQ,38.25,39.95,38.25,38.75,38.9,38.9,67161,2613650.15,31-01-2017,686,INE144J01027
